questionid,zone_name,diffrank,catname,question,answer1,answer2,answer3,right,response
611,Entertainment,1,American Graffiti (1973),"Which disc jockey played himself in ""American Graffiti""?",Alan Freed,Casey Kasem,Dick Clark,Wolfman Jack,American Graffiti was directed by George Lucas.
86456,Entertainment,2,Jaws (1975),"In which year was the film ""Jaws"" released?",1973,1980,1979,1975,"Peter Benchley, author of the novel ""Jaws"" on which the film was based, was removed from the film set when he objected to the film's ending."
246,Entertainment,3,This Is Spinal Tap (1984),"Who played Derek Smalls in ""This Is Spinal Tap""?",Michael McKean,David Lander,Paul Shaffer,Harry Shearer,"Harry Shearer has been a regular on ""Saturday Night Live"" and has done many voices on ""The Simpsons""."
706,Entertainment,2,Raising Arizona (1987),"Who directed the movie, ""Raising Arizona""?",Ed Zwick,Sean Penn,Quentin Tarantino,Joel And Ethan Coen,"The Coen brothers also directed ""O Brother, Where Art Thou?""."
59685,Entertainment,2,Poltergeist (1982),"In what city did the Freelings live in ""Poltergeist""?",Buena Vista,Phoenix,San Diego,Cuesta Verde,"The town the Freelings lived in on ""Poltergeist"" was Cuesta Verde, and lived in Phoenix in the sequel."
64320,Entertainment,3,Aliens (1986),"How many marines were sent to fight the aliens in the 1986 hit movie ""Aliens""?",100,90000,15,11,"Ripley, Burke and Bishop made a total of 14 people who faced off with the ""Aliens"" in James Cameron's movie."
92487,Entertainment,3,Rocky III (1982),"How many title defenses was Rocky said to have had in ""Rocky III""?",Nine,Three,12,10,Rocky III featured the fight between Rocky and Hulk Hogan.
94102,Entertainment,2,Die Hard (1988),"On ""Friends"", what was the favorite movie of Ross, Joey and Chandler?",Lethal Weapon,The Terminator,Scarface,Die Hard,"Friends was the anchor show of NBC's ""Must See TV Thursday""."
679,Entertainment,2,The Mask (1994),"What was the name of Stanley's dog in ""The Mask""?",Charlie,Fido,Spot,Mylo,The Mask co-starred Jim Carrey and Cameron Diaz.
36891,Entertainment,1,A Bug's Life (1998),"In ""A Bug's Life"", who is in charge of the circus?",Slim,Tuck And Roll,Francis,P.T. Flea,"The restaurant at Bug City in ""A Bug's Life"" is a can of ""Low Fat Lard""."
218283,Entertainment,1,The Matrix (1999),"What city is featured in a huge party scene in the movie ""The Matrix Reloaded""?",Refuge,Zeus,Ramadan,Zion,"In ""The Matrix Reloaded"" Arion Salazar of Third Eye Blind has a brief cameo as a drummer in the Zion party scene."
86836,Entertainment,2,Gladiator (2000),What film set in ancient times won the 2000 Oscar for Best Costume Design?,Quills,"Crouching Tiger, Hidden Dragon",How The Grinch Stole Christmas,Gladiator,"Most ancient Roman gladiators did product endorsements, but the producers of ""Gladiator"" left that out feeling it was unbelievable."
202703,Entertainment,1,"Shrek (2001, 2004, 2007)","Who played the voice of Shrek in the movie ""Shrek""?",Harrison Ford,Tom Hanks,Eddie Murphy,Mike Myers,"The character of Shrek was originally voiced by Chris Farley, but Mike Meyers re-recorded the lines after Farley's 1997 death."
254497,Entertainment,2,Napoleon Dynamite (2004),"How old is Napoleon's brother in ""Napoleon Dynamite""?",Twenty-One,Forty-Five,Twelve,Thirty-Two,"Jon Heder, the actor who played Napoleon in ""Napoleon Dynamite"", has an identical twin brother, Dan Heder."
254505,Entertainment,2,Napoleon Dynamite (2004),"In which state does ""Napoleon Dynamite"" take place?",Maine,California,Oregon,Idaho,"Director and writer Jared Hess drew on his own experiences for Napoleon Dynamite, having grown up in Idaho."
288789,Entertainment,1,The Benchwarmers (2006),"Which comic actor co-produced ""The Benchwarmers""?",Jack Black,Jim Carrey,Tim Allen,Adam Sandler,"Actor Adam Sandler's comedy album ""Stan and Judy's Kid"" set a record for sales of a comedy album in its first week."
295940,Entertainment,1,"Pirates of the Caribbean (2003, 2006)","What is Captain Sparrow's first name in ""Pirates of the Caribbean""?",Jim,John,Julian,Jack,Actor Johnny Depp based his portrayal of Captain Sparrow on a mix of Keith Richards and Pepe Le Pew.
304419,Entertainment,1,Over the Hedge (2006),"In the 2006 movie ""Over the Hedge"", who is RJ actually collecting food for?",Red Riding Hood,A Parrot,His Grandmother,A Bear,"Bruce Willis, who voices RJ in 2006's ""Over the Hedge"", got his start in show business by appearing in off-Broadway productions."
325632,Entertainment,2,Black Snake Moan (2006),"What actor starred as Lazarus in the 2007 film ""Black Snake Moan""?",John Amos,Denzel Washington,Morgan Freeman,Samuel L. Jackson,"To get ready for his role in ""Black Snake Moan"", Samuel L. Jackson practiced blues guitar 6 to 7 hours a day for 6 months."
329610,Entertainment,2,Sin City (2005),"Which woman in Old Town tips off the mercenaries in the movie ""Sin City""?",Shellie,Gail,Miho,Becky,"The first choice for the role of Gail in ""Sin City"" was Kate Bosworth."
329993,Entertainment,1,Finding Nemo (2003),"Who captures the title character at the beginning of ""Finding Nemo""?",A Fisherman,A Child,A Navy Sailor,A Dentist,"John Lasseter, executive producer for ""Finding Nemo"", enjoys the ocean life and has been a scuba diver since the 1980's."
338708,Entertainment,1,Finding Nemo (2003),"What is the name of Nemo's mother in ""Finding Nemo""?",Pearl,Shelly,Marina,Coral,"Nemo's mother, a clownfish like her son, only appears in the first few minutes of ""Finding Nemo""."
354084,Entertainment,1,Evan Almighty (2007),"In the 2007 film ""Evan Almighty"", who orders Evan Baxter to build an ark?",Bruce Nolan,Zeus,Noah,God,"Evan Almighty was originally slated to be a sequel to 2003's ""Bruce Almighty""."
